イコライザー	3.94	1992
アメイジング･スパイダーマン2™	3.45	1877
モンスターズ／地球外生命体	2.71	403
28日後...	3.38	745
モンスターズ／新種襲来	1.88	300
イントゥ･ザ･ストーム	3.51	758
ダイ･ハード／ラスト･デイ	2.82	1417
ダイ･ハード	4.48	1461
28週後...	3.18	856
ダイ･ハード4.0	3.87	2536
ムーンライト	2.75	8
ポセイドン	2.67	6
ダイ･ハード2	3.91	843
ダイ･ハード3	3.62	913
TAXI NY	3.18	242
ハプニング	2.74	1659
アメイジング･スパイダーマン™	3.45	1877
トランスフォーマー／ ロストエイジ	3.13	1513
10/18まで	-1	-1
マイティ･ソー バトルロイヤル	4.02	2956
スパイダーマン™	3.86	1591
プラダを着た悪魔	4.10	3922
ミュータント･タートルズ	3.90	30
スパイダーマン™ 3	3.56	2767
ジーパーズ･クリーパーズ	3.04	100
ラ･ラ･ランド	4.06	18172
ガリバー旅行記	2.79	491
パラノーマル･アクティビティ／呪いの印	2.19	96
10/23まで	-1	-1
キャプテン･アメリカ／ウィンター･ソルジャー	4.20	1980
エネミー･ライン	1.45	11
パッセンジャーズ	3.24	1021
AVP2 エイリアンズVS.プレデター	2.55	1150
彼が二度愛したS	3.13	328
アバター	2.29	7
10/18まで	-1	-1
ガーディアンズ･オブ･ギャラクシー：リミックス	4.34	4180
スパイダーマン™ 2	3.83	1121
幸せへのキセキ	3.94	1022
コマンドー	3.50	2
プレデターズ	3.05	1235
プレデター	2.00	8
プロメテウス	2.94	2805
ネイビーシールズ	3.38	598
オーメン	3.90	365
タイタニック	1.80	5
プレデター2	3.42	383
10/23まで	-1	-1
マイティ･ソー／ダーク･ワールド	3.64	1230
ムーラン･ルージュ	-2	-2
エイリアンVS.プレデター	3.21	733
ミッション：インポッシブル／ゴースト･プロトコル	4.17	3541
キラー･エリート	3.15	547
オール･ユー･ニード･イズ･キル	3.96	4276
ナイト ミュージアム2	3.44	928
無料あり	-1	-1
【特別映像集】ザ･プレデター	-1	-1
オーメン666	2.83	271
エイリアン	1.23	13
エイリアン4	3.36	614
M:i:III	3.76	2816
オーメン2／ダミアン	3.40	102
エイリアン2	4.47	330
ナイト ミュージアム	3.80	1973
メカニック	3.31	45
エイリアン3	3.07	725
トランスフォーマー／ダークサイド･ムーン	3.57	1693
オーメン／最後の闘争	2.76	71
インデペンデンス･デイ	1.61	59
ミーン･ガールズ	3.61	277
セックス･アンド･ザ･シティ 2	3.37	765
アイス･エイジ	3.58	151
ワールド･ウォーZ	3.20	2685
PLANET OF THE SHARKS 鮫の惑星	3.00	26
コンテイジョン	3.20	1024
10/31まで	-1	-1
マトリックス	3.43	28
17歳	2.63	8
アイス･エイジ3／ティラノのおとしもの	3.71	77
ラスト･ボーイスカウト	3.14	197
抱きたいカンケイ	3.32	380
エアベンダー	2.82	497
ウルフ･オブ･ウォールストリート	3.62	2523
アビス	3.65	181
ミッション：インポッシブル	4.06	2529
セル	4.00	1
M:I-2	3.44	1618
アイアンマン & ハルク：奇跡のタッグ	3.62	2022
クラッシュ	4.00	1
トランスフォーマー／リベンジ	3.69	1911
ブレイド3	2.98	241
ブレイド	4.40	5
シャッター アイランド	3.53	3078
(500) 日のサマー	3.78	2022
ナイスガイズ!	3.69	888
クライシス･オブ･アメリカ	2.97	188
10/31まで	-1	-1
マトリックス リローデッド	3.65	968
アイス･エイジ4／パイレーツ大冒険	3.25	20
イット･フォローズ	3.06	980
トランスフォーマー	3.61	3452
チャーリーとチョコレート工場	3.57	2831
アウトロー	3.22	36
時計じかけのオレンジ	3.84	1552
ラブリーボーン	3.15	1377
アイス･エイジ2	3.40	109
ブレイド2	3.45	286
10/19まで	-1	-1
フェーズ6	3.01	172
ザ･ビーチ	3.15	864
イーグル･アイ	3.32	1530
ネイビーシールズ：チーム6	3.28	188
glee／グリー ザ･コンサート･ムービー	3.59	79
私がクマにキレた理由 (わけ)	3.50	608
2001年宇宙の旅	3.92	1397
10/31まで	-1	-1
マトリックス レボリューションズ	3.38	934
シャイニング	3.88	1563
ザ･ウォーカー	3.17	1008
チャイルド･プレイ	3.73	394
リンカーン／秘密の書	2.88	391
メリーに首ったけ	3.72	848
ドン･ジョン	2.85	388
G.I.ジョー バック2リベンジ	2.81	609
フルメタル･ジャケット	4.02	844
ディープブルー･ライジング	1.62	21
シャーロック･ホームズ	4.00	1
リンカーン	3.40	873
10/19まで	-1	-1
スポンジ･ボブ／スクエアパンツ ザ･ムービー	3.98	41
最強のふたり	4.31	4279
フォー･ブラザーズ／狼たちの誓い	3.55	96
10/19まで	-1	-1
ザ･シューター／極大射程	3.65	1002
パラノーマル･アクティビティ2	2.45	238
アダムス･ファミリー	3.75	499
羊たちの沈黙	4.29	2572
SHAME －シェイム－	3.22	418
キングダム･オブ･ヘブン	3.52	431
チェ 28歳の革命	3.50	708
シャーロック･ホームズ シャドウ ゲーム	3.61	1369
フューリー	3.48	67
マックス･スティール	2.54	120
バンク･ジョブ	3.81	714
パラノーマル･アクティビティ4	2.46	139
10/19まで	-1	-1
殺人ゲームへの招待	3.23	39
ターミネーター The Terminator	1.44	9
美女と野獣 ～Beauty and the Beast～	3.25	4
エリザベスタウン	3.30	624
ミニスキュル 〜森の小さな仲間たち〜	3.74	23
10/27まで	-1	-1
ラスト･デイズ	2.91	147
パーフェクト･トラップ	3.58	120
第9地区	3.80	3113
ホテル･バディーズ ワンちゃん救出大作戦	3.77	13
ラスト･ターゲット	3.07	291
キューティ･ブロンド	4.20	735
X-ファイル ザ･ムービー	3.16	120
アダムス･ファミリー2	3.77	248
エンジェル ウォーズ	3.38	884
パラノーマル･アクティビティ3	2.75	161
X-ファイル： 真実を求めて	3.01	317
JUNO／ジュノ	3.68	974
キューティ･ブロンド／ハッピーMAX	3.45	208
かぞくはじめました	3.61	222
メガ･シャーク VS クロコザウルス	2.20	15
10/19まで	-1	-1
ジョージアの日記 ゆーうつでキラキラな毎日	3.92	75
セッション	4.12	6994
フロム･ヘル	3.26	417
ウォッチメン	3.37	1415
ホビット 思いがけない冒険／エクステンデッド･バージョン	3.80	1446
ブレードランナー	3.95	1793
ナチョ･リブレ 覆面の神様	3.46	315
ブルドッグ	3.00	1
10/24まで	-1	-1
ショーシャンクの空に	4.53	5588
ロリータ	3.00	3
王様のためのホログラム	2.65	402
バチェロレッテ あの子が結婚するなんて!	2.49	239
パシフィック･リム	3.90	3908
白い闇の女	3.34	68
チェンジング･レーン	3.10	284
バトルランナー	3.07	260
フローズン･タイム	3.66	426
グランド･イリュージョン	3.67	2870
ディープ･インパクト	2.00	15
コラテラル	3.58	1398
